Owner,No Tagkey: Owner($),qlikcloud($),goy($),aio($),jmg($),Peter.Michaud($),bfx($),oup($),Total cost ($)
7/23/2019,77.86209546,10.06235268,1.1136,1.1136,1.1136,0.600032538,0.278400116,0.096774194,92.24045498
7/24/2019,78.86694052,21.06064424,1.1136,1.1136,1.1136,0.600015865,0.278400116,0.096774194,104.2435749
7/25/2019,75.09925573,34.44718119,1.1136,1.1136,1.1136,0.600015874,0.278400114,0.092741936,113.8583948
7/26/2019,76.11652694,33.92058066,1.1136,1.1136,1.1136,0.600028444,0.278400116,0.096774194,114.3531104
7/27/2019,70.25277693,33.94409035,1.1136,1.1136,1.1136,0.60002959,0.278400129,0.096774194,108.5128712
7/28/2019,70.56755838,33.93866348,1.1136,1.1136,1.1136,0.600029974,0.278400114,0.096774194,108.8222261
7/29/2019,70.76706048,33.77056634,1.1136,1.1136,1.1136,0.600028365,0.278400116,0.096774194,108.8536295
7/30/2019,67.0459978,33.79286387,1.1136,1.1136,1.1136,0.60001607,0.278400117,0.096774194,105.154852
7/31/2019,59.17033065,33.89424271,1.1136,1.1136,1.1136,0.600016283,0.278400114,0.096774194,97.38056395
8/1/2019,82.74976393,34.9212977,1.1136,1.1136,1.1136,0.600017513,0.278400157,0.096774194,121.9870535
8/2/2019,59.46734498,33.81523597,1.1136,1.1136,1.1136,0.600016814,0.27840017,0.096774194,97.59857213
8/3/2019,59.49359722,33.83424493,1.1136,1.1136,1.1136,0.600031222,0.278400149,0.096774194,97.64384771
8/4/2019,59.80515002,33.90390236,1.1136,1.1136,1.1136,0.600033801,0.278400116,0.096774194,98.02506049
8/5/2019,59.88649634,33.89554866,1.1136,1.1136,1.1136,0.600084199,0.278400165,0.096774194,98.09810356
8/6/2019,59.94928173,33.91000148,1.1136,1.1136,1.0672,0.600088735,0.278400171,0.096774194,98.12894631
8/7/2019,59.80097014,33.90847731,1.1136,1.1136,1.1136,0.600485873,0.278400173,0.096774194,98.02590769
8/8/2019,59.88936446,33.88916577,1.1136,1.1136,1.1136,0.600259573,0.278400142,0.096774194,98.09476414
8/9/2019,59.51811924,33.72269002,1.1136,1.1136,1.1136,0.600140589,0.278400116,0.096774194,97.55692416
8/10/2019,59.69320352,33.72912538,1.1136,1.1136,1.1136,0.600088506,0.278400116,0.096774194,97.73839172
8/11/2019,59.84664887,33.85464717,1.1136,1.1136,1.1136,0.60072141,0.278400116,0.096774194,98.01799176
8/12/2019,59.90897992,33.88846238,1.1136,1.1136,1.1136,0.600761858,0.278400116,0.096774194,98.11417847
8/13/2019,59.66887689,33.87685541,1.1136,1.1136,1.1136,0.600026526,0.278400116,0.096774194,97.86173313
8/14/2019,59.91786398,33.90502076,1.1136,1.1136,1.1136,0.600899859,0.278400116,0.096774194,98.13975892
8/15/2019,59.95517567,33.81088025,1.1136,1.1136,1.1136,0.601246695,0.278400114,0.096774194,98.08327693
8/16/2019,59.65299556,33.70189297,1.1136,1.1136,1.1136,0.601152566,0.278400116,0.096774194,97.6720154
8/17/2019,59.71405648,33.87801096,1.1136,1.1136,1.1136,0.600996747,0.278400116,0.096774194,97.9090385
8/18/2019,59.87805231,33.96116707,1.1136,1.1136,1.1136,0.600441767,0.278400116,0.096774194,98.15563546
8/19/2019,59.93235551,34.31325124,1.1136,1.1136,1.1136,0.60057581,0.278400116,0.096774194,98.56215687
8/20/2019,59.88636516,33.82212591,1.1136,1.1136,1.1136,0.600881569,0.278400116,0.096774194,98.02534695
8/21/2019,59.67751625,33.83737053,1.1136,1.1136,1.1136,0.600195396,0.278400116,0.096774194,97.83105648
8/22/2019,59.7416715,33.41605984,1.1136,1.1136,1.1136,0.601022545,0.278400124,0.096774194,97.4747282
8/23/2019,59.3824715,32.11304972,1.1136,1.1136,1.1136,0.600405035,0.278400116,0.096774194,95.81190057
8/24/2019,59.57715406,32.08759999,1.1136,1.1136,1.1136,0.600443957,0.278400116,0.096774194,95.98117231
8/25/2019,59.69209407,32.65650074,1.11360121,1.113602236,1.1136,0.600016875,0.278401549,0.096774194,96.66459088
8/26/2019,59.73075251,29.30196242,1.11360209,1.11360381,1.113601995,0.600015805,0.278402536,0.096774194,93.34871536
8/27/2019,59.61030553,27.32378717,1.11360209,1.113603829,1.113601995,0.600033759,0.278402555,0.096774194,91.25011112
8/28/2019,59.63098535,27.55490648,1.113602083,1.113603816,1.113601995,0.600016536,0.278402549,0.096774194,91.501893
8/29/2019,59.55263055,24.15614749,1.113602096,1.113603823,1.113602169,0.600018327,0.278402549,0.096774194,88.0247812
8/30/2019,38.52838964,10.71835459,0.788801631,0.74240272,0.742404597,0.425011295,0.185601794,0.068548388,52.19951466
8/31/2019,,,,,,,,,0
